"code","nom","Superficie","Population","Densite"
"01","Ain","5762","631877","109.7"
"02","Aisne","7369","538659","73.1"
"03","Allier","7340","341613","46.5"
"04","Alpes-de-Haute-Provence","6925","161799","23.4"
"05","Hautes-Alpes","5549","140916","25.4"
"06","Alpes-Maritimes","4299","1082440","251.8"
"07","Ardeche","5529","324209","58.6"
"08","Ardennes","5229","277752","53.1"
"09","Ariege","4890","152499","31.2"
"10","Aube","6004","309056","51.5"
"11","Aude","6139","366957","59.8"
"12","Aveyron","8735","279169","32"
"13","Bouches-du-Rh?e","5088","2016622","396.4"
"14","Calvados","5548","693579","125"
"15","Cantal","5726","146219","25.5"
"16","Charente","5956","353613","59.4"
"17","Charente-Maritime","6864","639938","93.2"
"18","Cher","7235","308992","42.7"
"19","Correze","5857","241871","41.3"
"2A","Corse-du-Sud","4014","152730","38"
"2B","Haute-Corse","4666","174553","37.4"
"21","C?e-d'Or","8763","533147","60.8"
"22","C?esd'Armor","6878","598357","87"
"23","Creuse","5565","120365","21.6"
"24","Dordogne","9060","415417","45.9"
"25","Doubs","5233","536959","102.6"
"26","Drome","6530","504637","77.3"
"27","Eure","6040","601948","99.7"
"28","Eure-et-Loir","5880","434035","73.8"
"29","Finistere","6733","907796","134.8"
"30","Gars","5853","738189","126.1"
"31","Haute-Garonne","6309","1335103","211.6"
"32","Gers","6257","190932","30.5"
"33","Gironde","9976","1548478","155.2"
"34","Herault","6101","1120190","183.6"
"35","Ille-et-Vilaine","6775","1042884","153.9"
"36","Indre","6791","224200","33"
"37","Indre-et-Loire","6127","604966","98.7"
"38","Isere","7432","1251060","168.3"
"39","Jura","4999","260587","52.1"
"40","Landes","9243","403234","43.6"
"41","Loir-et-Cher","6343","333050","52.5"
"42","Loire","4781","759411","158.9"
"43","Haute-Loire","4977","227034","45.6"
"44","Loire-Atlantique","6809","1365227","200.5"
"45","Loiret","6775","673349","99.4"
"46","Lot","5217","173400","33.2"
"47","Lot-et-Garonne","5361","333417","62.2"
"48","Lozere","5167","76309","14.8"
"49","Maine-et-Loire","7172","810186","113"
"50","Manche","5938","499287","84.1"
"51","Marne","8162","572293","70.1"
"52","Haute-Marne","6211","179154","28.8"
"53","Mayenne","5175","307940","59.5"
"54","Meurthe-et-Moselle","5246","734403","140"
"55","Meuse","6211","190626","30.7"
"56","Morbihan","6823","744813","109.2"
"57","Moselle","6216","1044486","168"
"58","Nievre","6817","211747","31.1"
"59","Nord","5743","2605238","453.7"
"60","Oise","5860","821552","140.2"
"61","Orne","6103","286618","47"
"62","Pas-de-Calais","6671","1472648","220.7"
"63","Puy-de-Dome","7970","647501","81.2"
"64","Pyrenees-Atlantiques","7645","670032","87.6"
"65","Hautes-Pyrenees","4464","228582","51.2"
"66","Pyrenees-Orientales","4116","471038","114.4"
"67","Bas-Rhin","4755","1116658","234.8"
"68","Haut-Rhin","3525","762607","216.3"
"69","Rhone","3249","1821995","560.8"
"70","Haute-Saone","5360","237706","44.3"
"71","Saone-et-Loire","8575","555408","64.8"
"72","Sarthe","6206","568445","91.6"
"73","Savoie","6028","428204","71"
"74","Haute-Savoie","4388","793938","180.9"
"75","Paris","105","2206488","20934.4"
"76","Seine-Maritime","6278","1257699","200.3"
"77","Seine-et-Marne","5915","1390121","235"
"78","Yvelines","2284","1427291","624.8"
"79","Deux-Sevres","5999","374435","62.4"
"80","Somme","6170","571879","92.7"
"81","Tarn","5758","386543","67.1"
"82","Tarn-et-Garonne","3718","255274","68.7"
"83","Var","5973","1048652","175.6"
"84","Vaucluse","3567","557548","156.3"
"85","Vandee","6720","666714","99.2"
"86","Vienne","6990","434887","62.2"
"87","Haute-Vienne","5520","375795","68.1"
"88","Vosges","5874","372016","63.3"
"89","Yonne","7427","340903","45.9"
"90","TerritoiredeBelfort","609","144483","237.1"
"91","Essonne","1804","1276233","707.3"
"92","Hauts-de-Seine","176","1601569","9120.6"
"93","Seine-St-Denis","236","1592663","6742.9"
"94","Val-de-Marne","245","1372389","5601.6"
"95","Val-D'Oise","1246","1215390","975.5"
"971","Guadeloupe","1628","397990","244.4"
"972","Martinique","1128","380877","337.7"
"973","Guyane","83534","259865","3.1"
"974","LaReunion","2504","850727","339.8"
"976","Mayotte","376","256518","682.2"
